MESS_DATUM;FG_LBERGWh
1982010100;0
1982010101;0
1982010102;0
1982010103;0
1982010104;0
1982010105;0
1982010106;0
1982010107;0
1982010108;11.1
1982010109;50
1982010110;63.9
1982010111;113.9
1982010112;77.8
1982010113;61.1
1982010114;36.1
1982010115;13.9
1982010116;0
1982010117;0
1982010118;0
1982010119;0
1982010120;0
1982010121;0
1982010122;0
1982010123;0
1982010200;0
1982010201;0
1982010202;0
1982010203;0
1982010204;0
1982010205;0
1982010206;0
1982010207;0
1982010208;2.8
1982010209;13.9
1982010210;30.6
1982010211;58.3
1982010212;47.2
1982010213;22.2
1982010214;16.7
1982010215;5.6
1982010216;0
1982010217;0
1982010218;0
1982010219;0
1982010220;0
1982010221;0
1982010222;0
1982010223;0
1982010300;0
1982010301;0
1982010302;0
1982010303;0
1982010304;0
1982010305;0
1982010306;0
1982010307;0
1982010308;5.6
1982010309;33.3
1982010310;72.2
1982010311;125
1982010312;163.9
1982010313;108.3
1982010314;83.3
1982010315;27.8
1982010316;0
1982010317;0
1982010318;0
1982010319;0
1982010320;0
1982010321;0
1982010322;0
1982010323;0
1982010400;0
1982010401;0
1982010402;0
1982010403;0
1982010404;0
1982010405;0
1982010406;0
1982010407;0
1982010408;2.8
1982010409;8.3
1982010410;13.9
1982010411;11.1
1982010412;22.2
1982010413;30.6
1982010414;16.7
1982010415;2.8
1982010416;0
1982010417;0
1982010418;0
1982010419;0
1982010420;0
1982010421;0
1982010422;0
1982010423;0
1982010500;0
1982010501;0
1982010502;0
1982010503;0
1982010504;0
1982010505;0
1982010506;0
1982010507;0
1982010508;11.1
1982010509;30.6
1982010510;63.9
1982010511;116.7
1982010512;75
1982010513;19.4
1982010514;27.8
1982010515;11.1
1982010516;0
1982010517;0
1982010518;0
1982010519;0
1982010520;0
1982010521;0
1982010522;0
1982010523;0
1982010600;0
1982010601;0
1982010602;0
1982010603;0
1982010604;0
1982010605;0
1982010606;0
1982010607;0
1982010608;8.3
1982010609;33.3
1982010610;152.8
1982010611;213.9
1982010612;188.9
1982010613;177.8
1982010614;147.2
1982010615;22.2
1982010616;0
1982010617;0
1982010618;0
1982010619;0
1982010620;0
1982010621;0
1982010622;0
1982010623;0
1982010700;0
1982010701;0
1982010702;0
1982010703;0
1982010704;0
1982010705;0
1982010706;0
1982010707;0
1982010708;16.7
1982010709;75
1982010710;125
1982010711;211.1
1982010712;144.4
1982010713;108.3
1982010714;63.9
1982010715;33.3
1982010716;0
1982010717;0
1982010718;0
1982010719;0
1982010720;0
1982010721;0
1982010722;0
1982010723;0
1982010800;0
1982010801;0
1982010802;0
1982010803;0
1982010804;0
1982010805;0
1982010806;0
1982010807;0
1982010808;33.3
1982010809;119.4
1982010810;186.1
1982010811;200
1982010812;227.8
1982010813;155.6
1982010814;75
1982010815;27.8
1982010816;0
1982010817;0
1982010818;0
1982010819;0
1982010820;0
1982010821;0
1982010822;0
1982010823;0
1982010900;0
1982010901;0
1982010902;0
1982010903;0
1982010904;0
1982010905;0
1982010906;0
1982010907;0
1982010908;11.1
1982010909;38.9
1982010910;61.1
1982010911;86.1
1982010912;88.9
1982010913;55.6
1982010914;36.1
1982010915;13.9
1982010916;0
1982010917;0
1982010918;0
1982010919;0
1982010920;0
1982010921;0
1982010922;0
1982010923;0
1982011000;0
1982011001;0
1982011002;0
1982011003;0
1982011004;0
1982011005;0
1982011006;0
1982011007;0
1982011008;44.4
1982011009;147.2
1982011010;233.3
1982011011;283.3
1982011012;286.1
1982011013;238.9
1982011014;144.4
1982011015;44.4
1982011016;0
1982011017;0
1982011018;0
1982011019;0
1982011020;0
1982011021;0
1982011022;0
1982011023;0
1982011100;0
1982011101;0
1982011102;0
1982011103;0
1982011104;0
1982011105;0
1982011106;0
1982011107;0
1982011108;33.3
1982011109;108.3
1982011110;213.9
1982011111;197.2
1982011112;147.2
1982011113;86.1
1982011114;52.8
1982011115;19.4
1982011116;0
1982011117;0
1982011118;0
1982011119;0
1982011120;0
1982011121;0
1982011122;0
1982011123;0
1982011200;0
1982011201;0
1982011202;0
1982011203;0
1982011204;0
1982011205;0
1982011206;0
1982011207;0
1982011208;30.6
1982011209;75
1982011210;116.7
1982011211;163.9
1982011212;261.1
1982011213;213.9
1982011214;127.8
1982011215;38.9
1982011216;0
1982011217;0
1982011218;0
1982011219;0
1982011220;0
1982011221;0
1982011222;0
1982011223;0
1982011300;0
1982011301;0
1982011302;0
1982011303;0
1982011304;0
1982011305;0
1982011306;0
1982011307;0
1982011308;47.2
1982011309;147.2
1982011310;236.1
1982011311;283.3
1982011312;286.1
1982011313;238.9
1982011314;152.8
1982011315;50
1982011316;0
1982011317;0
1982011318;0
1982011319;0
1982011320;0
1982011321;0
1982011322;0
1982011323;0
1982011400;0
1982011401;0
1982011402;0
1982011403;0
1982011404;0
1982011405;0
1982011406;0
1982011407;0
1982011408;55.6
1982011409;158.3
1982011410;250
1982011411;291.7
1982011412;294.4
1982011413;252.8
1982011414;161.1
1982011415;52.8
1982011416;0
1982011417;0
1982011418;0
1982011419;0
